sub_mono;cover;sub_doble;sub_doble_intermitente;directo a cantar ;trend;oscuro/claro/neutral;color_sub;likes;views;comments;saved;compartidos
1;0;0;0;1;1;n;white;67100;281500;225;8412;2042
1;1;0;0;1;0;c;none;7372;58400;66;729;52
0;1;0;0;0;0;n;white;5927;46000;67;725;242
1;1;1;0;1;0;n;white;110000;746100;614;18500;2509
1;0;0;0;0;1;o;white;6812;921000;651;836;54
1;0;1;0;0;0;o;white;8662;777000;96;1786;541
0;0;1;1;0;1;o;white;216;3589;4;43;13
0;0;1;1;0;0;o;white;147;2677;147;18;1
0;0;1;0;0;0;o;white;688;8972;23;48;3
0;0;1;1;0;1;o;white;152000;121400;137;2249;486
1;0;0;1;1;0;o;white;178;6106;10;26;7
1;1;1;0;0;0;o;white;39100;303400;302;6137;261
1;1;0;1;0;0;o;white;8995;67900;52;2823;50
1;1;1;0;0;0;o;white;14400;143300;114;2507;200
1;1;1;0;0;1;o;white;35900;296900;265;6265;957
0;0;1;0;0;0;o;black;31600;203200;347;5865;1360
1;1;0;0;1;1;o;white;2906;26500;22;303;69
1;1;0;0;1;0;c;black;16000;107300;114;1551;458
1;0;0;0;0;0;o;white;2654;31300;39;223;45
0;0;1;0;1;0;o;white;152000;923500;1332;27300;5522
0;1;1;0;0;0;o;white;201400;1400000;716;41200;2048
1;0;0;0;0;1;n;white;198800;975400;843;35500;6952
1;1;0;0;0;0;o;white;126700;718300;418;21300;5039
0;1;1;0;0;1;o;white  ;170900;1000000;1521;28500;14500
1;1;0;0;1;1;n;white;29700;198800;189;3674;14400
1;0;0;0;0;0;c;white;4646;58100;33;505;68
0;1;1;0;0;1;o;white;70200;526800;685;7788;334
1;1;0;0;1;0;c;white;556900;3400000;1464;98000;9561
0;1;1;0;1;1;o;white;147700;1200000;1585;25100;1585
